"id";"grupo";"caixa";"porta_cto";"status";"rn"
1668211;1060;1474;5;L;3
1668259;1060;1474;5;L;4
1668116;1060;1474;6;L;2
1668212;1060;1474;6;L;3
1668260;1060;1474;6;L;4
1668165;1060;1474;7;L;2
1668213;1060;1474;7;L;3
1668261;1060;1474;7;L;4
1668118;1060;1474;8;L;2
1668214;1060;1474;8;L;3
1668262;1060;1474;8;L;4
1668167;1060;1476;1;L;2
1668215;1060;1476;1;L;3
1668263;1060;1476;1;L;4
1668168;1060;1476;2;L;2
1668216;1060;1476;2;L;3
1668264;1060;1476;2;L;4
1668169;1060;1476;3;L;2
1668217;1060;1476;3;L;3
1668265;1060;1476;3;L;4
1668170;1060;1476;4;L;2
1668218;1060;1476;4;L;3
1668266;1060;1476;4;L;4
1668171;1060;1476;5;L;2
1668219;1060;1476;5;L;3
1668267;1060;1476;5;L;4
1668172;1060;1476;6;L;2
1668220;1060;1476;6;L;3
1668268;1060;1476;6;L;4
1668125;1060;1476;7;L;2
1668173;1060;1476;7;L;3
1668221;1060;1476;7;L;4
1668174;1060;1476;8;L;2
1668222;1060;1476;8;L;3
1668270;1060;1476;8;L;4
1668175;1060;1477;1;L;2
1668223;1060;1477;1;L;3
1668271;1060;1477;1;L;4
1668176;1060;1477;2;L;2
1668224;1060;1477;2;L;3
1668272;1060;1477;2;L;4
1668177;1060;1477;3;L;2
1668225;1060;1477;3;L;3
1668273;1060;1477;3;L;4
1668178;1060;1477;4;L;2
1668226;1060;1477;4;L;3
1668274;1060;1477;4;L;4
1668179;1060;1477;5;L;2
1668227;1060;1477;5;L;3
1668275;1060;1477;5;L;4
1668180;1060;1477;6;L;2
1668228;1060;1477;6;L;3
1668276;1060;1477;6;L;4
1668181;1060;1477;7;L;2
1668229;1060;1477;7;L;3
1668277;1060;1477;7;L;4
1668182;1060;1477;8;L;2
1668230;1060;1477;8;L;3
1668278;1060;1477;8;L;4
1668183;1060;1478;1;A;2
1668231;1060;1478;1;L;3
1668279;1060;1478;1;L;4
1668136;1060;1478;2;L;2
1668184;1060;1478;2;L;3
1668280;1060;1478;2;L;4
1668185;1060;1478;3;L;2
1668233;1060;1478;3;L;3
1668281;1060;1478;3;L;4
1668186;1060;1478;4;L;2
1668234;1060;1478;4;L;3
1668282;1060;1478;4;L;4
1668187;1060;1478;5;L;2
1668235;1060;1478;5;L;3
1668283;1060;1478;5;L;4
1668188;1060;1478;6;L;2
1668236;1060;1478;6;L;3
1668284;1060;1478;6;L;4
1668189;1060;1478;7;L;2
1668237;1060;1478;7;L;3
1668285;1060;1478;7;L;4
1668142;1060;1478;8;L;2
1668190;1060;1478;8;L;3
1668238;1060;1478;8;L;4
1668191;1060;1480;1;L;2
1668239;1060;1480;1;L;3
1668287;1060;1480;1;L;4
1668144;1060;1480;2;L;2
1668192;1060;1480;2;L;3
1668240;1060;1480;2;L;4
1668193;1060;1480;3;L;2
1668241;1060;1480;3;L;3
1668289;1060;1480;3;L;4
1668194;1060;1480;4;L;2
1668242;1060;1480;4;L;3
1668290;1060;1480;4;L;4
1668195;1060;1480;5;L;2
1668243;1060;1480;5;L;3
1668291;1060;1480;5;L;4
1668196;1060;1480;6;L;2
1668244;1060;1480;6;L;3
